0	doc_label,doc_content	0.005124790645049592	0.009167097600249864	0.04313097689610077	0.0059759749414971435	0.026597037982173413	0.00965496167580396	0.12864369483023544	0.2459067997989802	0.08927149233954901	0.0022276484049298783	0.1800174908079104	0.07773997244506152	0.097853413621183	0.026787722837346168	0.0035066631953680387	0.006779550234546439	0.006450327593599502	0.024761247128032227	0.008078623082164576	0.0023245139402190518
1	doyle-northangerabbey-1,seen	5.523101644266339E-5	0.011318713928663958	0.006074791229348794	6.440442022223899E-5	0.0021566285787073466	1.0405368414117005E-4	0.13602543868706501	0.11671935964387964	0.06641162091002817	2.4007865726184096E-5	0.2824380404350622	0.17848652378690993	0.11512375514552285	0.04516836954761606	3.779209454913851E-5	7.306473111048879E-5	0.015029407378206933	0.024576679979397317	8.70651301075332E-5	2.505180729235357E-5
2	doyle-northangerabbey-2,addition	3.463507383863994E-5	6.195435565302016E-5	0.014363394517087949	4.038766609062382E-5	0.002525068596516251	6.525150659056297E-5	0.16504159306208435	0.13769029542383665	0.029919786911909708	1.5055203682477101E-5	0.3917118648784622	0.13186313337074357	0.10502792374035719	0.00838964928546676	0.01175028317157385	4.581850054559886E-5	4.359350224453384E-5	1.673449087026868E-4	0.0012272564707803977	1.5709853832996068E-5
3	doyle-northangerabbey-3,morning	4.545581484506217E-5	8.131022709895288E-5	0.004999628888422651	5.3005640478567634E-5	2.359101312972876E-4	8.563747881007712E-5	0.38743558102792997	0.06835909040925843	0.006947907618971117	1.9758772689027717E-5	0.3878912557900015	0.07456259635939563	0.04703860116641152	2.3760146584553168E-4	0.013882301957125321	0.0015991552500825713	5.721304870626906E-5	0.006375715315900776	7.165568712170581E-5	2.0617949608035285E-5
4	doyle-northangerabbey-4,usual	5.411782099408647E-5	9.680460751013588E-5	0.0022877596683194565	6.310633244335374E-5	2.808648860383351E-4	1.0195645517356888E-4	0.1754266252723257	0.14185129497660304	0.03392404063935009	2.35239809712443E-5	0.4764657235855707	0.06311900827473636	0.10180962831933892	0.002115174804103213	3.7030385090324486E-5	7.159209252147914E-5	6.811549939134273E-5	2.614789232335985E-4	8.531030984877374E-5	0.0018568431664363132
5	doyle-northangerabbey-5,catherine	6.118012871461627E-5	1.0943748729804151E-4	0.008800535385048313	7.134162962720963E-5	0.006531743352381896	0.006329487595823765	0.05332097417744351	0.1562198936433749	0.0031371383104337805	2.6593830964816075E-5	0.44128769596834344	0.1935690700124347	0.1192384743422264	0.010676837063052742	4.186280387056634E-5	8.093477074569247E-5	7.700448657528326E-5	2.9560159455309316E-4	9.644319821749831E-5	2.7750218869700823E-5
6	doyle-northangerabbey-6,following	5.050850565110593E-5	9.034835430667223E-5	0.03975724303461593	5.889754040880533E-5	2.621329799145942E-4	9.515660641369214E-5	0.4151105629880303	0.017814432475057172	0.0043000223950592385	2.19550806739324E-5	0.42929763874852855	0.004186370954815687	0.05226722831681679	0.027625512260520603	3.456069332136744E-5	0.00861728608659634	6.357262769895105E-5	2.440399378465818E-4	7.962065338080084E-5	2.2909760342901257E-5
7	doyle-northangerabbey-7,half	9.335961332068445E-4	4.790910276270719E-5	0.02198892181697775	3.1231651506769825E-5	0.008300317974125788	5.045877891422075E-5	0.2582071936401899	0.07655063282278836	0.0013733637842586624	1.164214029400727E-5	0.4407450849472773	0.08655351434469852	0.08393819242087129	1.3999804759996833E-4	1.8326529803338344E-5	0.020892128979744587	3.3710714231564544E-5	1.29407276427094E-4	4.222051518400454E-5	1.2148379137172544E-5
8	doyle-northangerabbey-8,spite	2.8515703963153355E-5	5.100817954828456E-5	2.399922755866869E-4	3.325192073700919E-5	0.0011134646086540369	5.372278557149772E-5	0.24980747689685187	0.13846525623367156	0.04587389493861484	1.2395230722318898E-5	0.4904957591698737	0.0062253954828244504	0.0652310787476901	0.00207999721546261	1.9512010636803828E-5	3.772322829975475E-5	3.5891345591281774E-5	1.3777819266500311E-4	4.495161660182771E-5	1.2934216433121866E-5
9	doyle-northangerabbey-9,progress	8.044734116086557E-4	4.128294663586141E-5	0.011915153074089873	2.6912100794077643E-5	0.002463960192371394	4.347998516156715E-5	0.25296976147929007	0.0706515245851434	0.0379089605978918	1.0031952776599142E-5	0.4383916183947553	0.056610498215443096	0.11061729856238704	0.017311314785034098	1.5791845563024464E-5	3.0530907682306535E-5	2.904829221226296E-5	1.115093662574367E-4	3.638112957182305E-5	1.0468175330189944E-5
10	doyle-northangerabbey-10,allens	2.055698342780673E-5	3.677181889009629E-5	0.0015650283103491583	2.3971324166385786E-5	1.0668823507091657E-4	7.34737666644256E-4	0.2455111544666488	0.1213959391278943	0.010102217601116625	8.935727235484069E-6	0.4559119131798802	0.09148900120553306	0.07208143306324066	1.0745312590826358E-4	1.406621698072956E-5	2.719469173910142E-5	7.218829737830565E-4	9.932435920177182E-5	3.240564001965139E-5	9.324282269549445E-6
11	doyle-northangerabbey-11,morrow	2.6662301929438126E-5	4.76928602479769E-5	0.06612295027248051	3.10906843320253E-5	1.383740929582069E-4	5.0231028181824984E-5	0.27419342880085057	0.03648543601708894	0.07539020103337313	1.1589592332370663E-5	0.4559074171255483	0.0347078091594323	0.056477730455868305	1.3936615244592438E-4	1.8243811182816852E-5	3.527137551928642E-5	3.355855755990043E-5	1.2882318377527388E-4	4.202994867680407E-5	1.2093546216014938E-5
